dropped_month,diff,sign_flipped
2005-02-28,-0.026246366863862836,False
2005-03-31,-0.026625967300784453,False
2005-04-30,-0.027775705713635135,False
2005-05-31,-0.026791813895306132,False
2005-06-30,-0.0258990405667128,False
2005-07-31,-0.02704360701560482,False
2005-08-31,-0.026920465324241694,False
2005-09-30,-0.02653170619856493,False
2005-10-31,-0.027765055971564895,False
2005-11-30,-0.02735212274240109,False
2005-12-31,-0.02688907184755479,False
2006-01-31,-0.02593021926666994,False
2006-02-28,-0.0272337444403703,False
2006-03-31,-0.026366632944979124,False
2006-04-30,-0.026516660561542865,False
2006-05-31,-0.027337376635944044,False
2006-06-30,-0.026563346847840452,False
2006-07-31,-0.027141668433468158,False
2006-08-31,-0.02781492940945532,False
2006-09-30,-0.027219342779924577,False
2006-10-31,-0.026812266990694278,False
2006-11-30,-0.02720498314054104,False
2006-12-31,-0.026479967522050035,False
2007-01-31,-0.0270312986697889,False
2007-02-28,-0.02724658127136781,False
2007-03-31,-0.026794729948153267,False
2007-04-30,-0.027296639578368892,False
2007-05-31,-0.027108756916757598,False
2007-06-30,-0.02694905680347162,False
2007-07-31,-0.027841830809233886,False
2007-08-31,-0.027726180760870106,False
2007-09-30,-0.027638836792013344,False
2007-10-31,-0.02677581020119893,False
2007-11-30,-0.027291773231800903,False
2007-12-31,-0.026200844123385997,False
2008-01-31,-0.02708072598834843,False
2008-02-29,-0.02635613507380677,False
2008-03-31,-0.026142267746899456,False
2008-04-30,-0.033798080934844404,False
2008-05-31,-0.031158636144937968,False
2008-06-30,-0.04994693130612113,False
2008-07-31,-0.006996290215510403,False
2008-08-31,-0.01728158513401362,False
2008-09-30,-0.022690128695218137,False
2008-10-31,-0.038822527004599705,False
2008-11-30,-0.04060215736421649,False
2008-12-31,-0.021313548027807577,False
2009-01-31,-0.04403548643364372,False
2009-02-28,-0.026927753441235963,False
2009-03-31,-0.029386062302228566,False
2009-04-30,-0.031444945237080135,False
2009-05-31,-0.030620604698868126,False
2009-06-30,-0.02659106097525002,False
2009-07-31,-0.026420889172458523,False
2009-08-31,-0.027238554348554406,False
2009-09-30,-0.026971755650056967,False
2009-10-31,-0.02765967225990218,False
2009-11-30,-0.027339012975949817,False
2009-12-31,-0.02389601814809969,False
2010-01-31,-0.01894089650171704,False
2010-02-28,-0.025243022704460827,False
2010-03-31,-0.02588528118502273,False
2010-04-30,-0.025389404269237775,False
2010-05-31,-0.02729177323180093,False
2010-06-30,-0.02920557757621911,False
2010-07-31,-0.026539936564974193,False
2010-08-31,-0.028046799627552577,False
2010-09-30,-0.026729585722075455,False
2010-10-31,-0.026950566578241214,False
2010-11-30,-0.026033971486135815,False
2010-12-31,-0.02685937500679994,False
2011-01-31,-0.02734392516899467,False
2011-02-28,-0.02651120331374518,False
2011-03-31,-0.02623874002569762,False
2011-04-30,-0.026023223994503936,False
2011-05-31,-0.02478938882237322,False
2011-06-30,-0.021177533390667497,False
2011-07-31,-0.022121630035459916,False
2011-08-31,-0.02388223561438918,False
2011-09-30,-0.027129259232820085,False
2011-10-31,-0.029236085650385463,False
2011-11-30,-0.025648321070752433,False
2011-12-31,-0.02352917260142151,False
