refit_date,state,expected_duration
2004-12-31,0,inf
2004-12-31,1,66.18618623027011
2004-12-31,2,55.81209137169339
2005-12-31,0,46.96873670197511
2005-12-31,1,61.899718871122296
2005-12-31,2,70.12901510628198
2006-12-31,0,61.004648642182154
2006-12-31,1,66.04376018456743
2006-12-31,2,31.97827025521578
2007-12-31,0,64.030086740078
2007-12-31,1,51.04233940526548
2007-12-31,2,43.955793467033814
2008-12-31,0,22.034507530874563
2008-12-31,1,76.07035875092869
2008-12-31,2,36.41143576651265
2009-12-31,0,49.555021499546044
2009-12-31,1,124.3286836297112
2009-12-31,2,52.875220830383654
2010-12-31,0,30.822046268736518
2010-12-31,1,124.54325716710908
2010-12-31,2,26.406009042146675
2011-12-31,0,36.749174835241696
2011-12-31,1,124.83957874598795
2011-12-31,2,26.330762067415968
2012-12-31,0,20.1524668704911
2012-12-31,1,15.102631315981313
2012-12-31,2,121.87812949481518
2013-12-31,0,18.0198168842855
2013-12-31,1,122.00338837859718
2013-12-31,2,116.85168216106894
2014-12-31,0,129.87537037913293
2014-12-31,1,42.77411472341524
2014-12-31,2,23.79136776740418
2015-12-31,0,54.73097375334523
2015-12-31,1,58.50133944109791
2015-12-31,2,24.038206119745634
2016-12-31,0,43.577202484180205
2016-12-31,1,49.28051151625962
2016-12-31,2,125.01175703215725
2017-12-31,0,22.532212503424418
2017-12-31,1,38.7759872728951
2017-12-31,2,46.9340981011663
2018-12-31,0,34.1543754784154
2018-12-31,1,52.146589461740895
2018-12-31,2,32.049159176642824
2019-12-31,0,19.57404756567393
2019-12-31,1,90.73851576608483
2019-12-31,2,87.17953392530856
2020-12-31,0,19.67857339182973
2020-12-31,1,61.12688045129701
2020-12-31,2,25.650517927553818
2021-12-31,0,98.28952353917883
2021-12-31,1,22.13481894863399
2021-12-31,2,35.98995304773999
2022-12-31,0,24.612947779573222
2022-12-31,1,26.292393721364988
2022-12-31,2,50.78907128574942
2023-12-31,0,21.629412723218493
2023-12-31,1,27.254901378349008
2023-12-31,2,39.82114148273973
2024-12-31,0,61.90060015689202
2024-12-31,1,49.446121746739394
2024-12-31,2,30.552600482573137
2025-12-31,0,38.218162400122765
2025-12-31,1,26.78085377237685
2025-12-31,2,68.64707695600589
