restart,seed,loglik,n_iter,converged
0,20260917,-692.4280062722007,33,True
1,20260918,-706.8492951304531,6,True
2,20260919,-706.8493019048984,5,True
3,20260920,-706.8492950046802,6,True
4,20260921,-706.8493325265661,6,True
5,20260922,-695.4799705926442,14,True
6,20260923,-693.8995249614804,17,True
7,20260924,-706.8493359537918,8,True
8,20260925,-693.899525443048,12,True
9,20260926,-694.1592673132092,13,True
10,20260927,-706.8492940394271,7,True
11,20260928,-706.8493352153298,9,True
12,20260929,-706.8493355926305,8,True
13,20260930,-706.8492651102061,7,True
14,20260931,-692.4280068107606,16,True
15,20260932,-706.8492827649425,7,True
16,20260933,-692.4280036146288,11,True
17,20260934,-693.8995143340147,74,True
18,20260935,-706.8493362837187,7,True
19,20260936,-706.8492952839146,5,True
